"","Index","From.Date","To.Date","PM25"
"2021-01-03 04:00:00"," 417","2021-01-03 04:00:00","2021-01-03 04:15:00","140.96917051749"
"2021-01-03 04:15:00"," 418","2021-01-03 04:15:00","2021-01-03 04:30:00","129.876316001012"
"2021-01-03 04:30:00"," 419","2021-01-03 04:30:00","2021-01-03 04:45:00","131.748867010195"
"2021-01-03 04:45:00"," 420","2021-01-03 04:45:00","2021-01-03 05:00:00","134.714498706904"
"2021-01-03 05:00:00"," 421","2021-01-03 05:00:00","2021-01-03 05:15:00","126.179540551173"
"2021-01-03 05:15:00"," 422","2021-01-03 05:15:00","2021-01-03 05:30:00","126.417406388615"
"2021-01-03 05:30:00"," 423","2021-01-03 05:30:00","2021-01-03 05:45:00","127.66952708153"
"2021-01-03 05:45:00"," 424","2021-01-03 05:45:00","2021-01-03 06:00:00","128.712110081672"
"2021-01-03 06:00:00"," 425","2021-01-03 06:00:00","2021-01-03 06:15:00","160.995378391881"
"2021-01-03 06:15:00"," 426","2021-01-03 06:15:00","2021-01-03 06:30:00","165.496288149161"
"2021-01-03 06:30:00"," 427","2021-01-03 06:30:00","2021-01-03 06:45:00","165.383066585115"
"2021-01-03 06:45:00"," 428","2021-01-03 06:45:00","2021-01-03 07:00:00","164.733218424374"
"2021-01-03 07:00:00"," 429","2021-01-03 07:00:00","2021-01-03 07:15:00","186.863578725478"
"2021-01-03 07:15:00"," 430","2021-01-03 07:15:00","2021-01-03 07:30:00","189.351815091149"
"2021-01-03 07:30:00"," 431","2021-01-03 07:30:00","2021-01-03 07:45:00","188.763035244261"
"2021-01-03 07:45:00"," 432","2021-01-03 07:45:00","2021-01-03 08:00:00","187.953367847253"
"2021-01-03 08:00:00"," 433","2021-01-03 08:00:00","2021-01-03 08:15:00","228.242095537029"
"2021-01-03 08:15:00"," 434","2021-01-03 08:15:00","2021-01-03 08:30:00","273.902949798097"
"2021-01-03 08:30:00"," 435","2021-01-03 08:30:00","2021-01-03 08:45:00","278.203943520385"
"2021-01-03 08:45:00"," 436","2021-01-03 08:45:00","2021-01-03 09:00:00","276.276174832088"
"2021-01-03 09:00:00"," 437","2021-01-03 09:00:00","2021-01-03 09:15:00","381.546605929999"
"2021-01-03 09:15:00"," 438","2021-01-03 09:15:00","2021-01-03 09:30:00","393.5325165784"
