,0,1,2,3,4
351,41.8,44.9,38.7,36.4,36.0
352,44.9,38.7,36.4,36.0,36.0
353,38.7,36.4,36.0,36.0,36.4
354,36.4,36.0,36.0,36.4,37.2
355,36.0,36.0,36.4,37.2,37.1
356,36.0,36.4,37.2,37.1,38.9
357,36.4,37.2,37.1,38.9,61.6
358,37.2,37.1,38.9,61.6,72.4
359,37.1,38.9,61.6,72.4,72.5
360,38.9,61.6,72.4,72.5,70.7
361,61.6,72.4,72.5,70.7,69.2
362,72.4,72.5,70.7,69.2,73.5
363,72.5,70.7,69.2,73.5,73.4
364,70.7,69.2,73.5,73.4,68.6
365,69.2,73.5,73.4,68.6,81.2
366,73.5,73.4,68.6,81.2,77.0
367,73.4,68.6,81.2,77.0,77.3
368,68.6,81.2,77.0,77.3,76.8
369,81.2,77.0,77.3,76.8,79.3
370,77.0,77.3,76.8,79.3,75.5
371,77.3,76.8,79.3,75.5,76.8
372,76.8,79.3,75.5,76.8,71.0
373,79.3,75.5,76.8,71.0,
374,75.5,76.8,71.0,,
375,76.8,71.0,,,
376,71.0,,,,74.1
377,,,,74.1,63.6
378,,,74.1,63.6,55.2
379,,74.1,63.6,55.2,67.9
380,74.1,63.6,55.2,67.9,73.4
381,63.6,55.2,67.9,73.4,
382,55.2,67.9,73.4,,
383,67.9,73.4,,,
384,73.4,,,,57.8
385,,,,57.8,51.3
386,,,57.8,51.3,45.8
387,,57.8,51.3,45.8,46.1
388,57.8,51.3,45.8,46.1,36.0
389,51.3,45.8,46.1,36.0,46.8
390,45.8,46.1,36.0,46.8,41.9
391,46.1,36.0,46.8,41.9,35.7
392,36.0,46.8,41.9,35.7,47.8
393,46.8,41.9,35.7,47.8,42.0
394,41.9,35.7,47.8,42.0,34.0
395,35.7,47.8,42.0,34.0,35.3
396,47.8,42.0,34.0,35.3,33.4
397,42.0,34.0,35.3,33.4,42.0
398,34.0,35.3,33.4,42.0,56.9
399,35.3,33.4,42.0,56.9,56.2
400,33.4,42.0,56.9,56.2,44.6
401,42.0,56.9,56.2,44.6,43.9
402,56.9,56.2,44.6,43.9,52.0
403,56.2,44.6,43.9,52.0,62.4
404,44.6,43.9,52.0,62.4,91.0
405,43.9,52.0,62.4,91.0,131.1
406,52.0,62.4,91.0,131.1,153.2
407,62.4,91.0,131.1,153.2,128.1
408,91.0,131.1,153.2,128.1,136.7
409,131.1,153.2,128.1,136.7,148.2
410,153.2,128.1,136.7,148.2,133.6
411,128.1,136.7,148.2,133.6,120.3
412,136.7,148.2,133.6,120.3,128.4
413,148.2,133.6,120.3,128.4,126.4
414,133.6,120.3,128.4,126.4,96.9
415,120.3,128.4,126.4,96.9,79.0
416,128.4,126.4,96.9,79.0,80.4
417,126.4,96.9,79.0,80.4,79.3
418,96.9,79.0,80.4,79.3,78.3
419,79.0,80.4,79.3,78.3,81.1
420,80.4,79.3,78.3,81.1,81.4
421,79.3,78.3,81.1,81.4,94.7
422,78.3,81.1,81.4,94.7,81.4
423,81.1,81.4,94.7,81.4,79.5
424,81.4,94.7,81.4,79.5,75.3
425,94.7,81.4,79.5,75.3,69.7
426,81.4,79.5,75.3,69.7,51.5
427,79.5,75.3,69.7,51.5,45.2
428,75.3,69.7,51.5,45.2,50.3
429,69.7,51.5,45.2,50.3,
430,51.5,45.2,50.3,,44.0
431,45.2,50.3,,44.0,35.0
