,0,1,2,3,4
587,64.1,59.4,60.9,60.1,57.3
588,59.4,60.9,60.1,57.3,
589,60.9,60.1,57.3,,57.9
590,60.1,57.3,,57.9,56.6
591,57.3,,57.9,56.6,59.6
592,,57.9,56.6,59.6,60.3
593,57.9,56.6,59.6,60.3,63.4
594,56.6,59.6,60.3,63.4,84.4
595,59.6,60.3,63.4,84.4,100.1
596,60.3,63.4,84.4,100.1,102.7
597,63.4,84.4,100.1,102.7,132.0
598,84.4,100.1,102.7,132.0,
599,100.1,102.7,132.0,,164.4
600,102.7,132.0,,164.4,
601,132.0,,164.4,,170.2
602,,164.4,,170.2,167.4
603,164.4,,170.2,167.4,165.6
604,,170.2,167.4,165.6,180.5
605,170.2,167.4,165.6,180.5,185.8
606,167.4,165.6,180.5,185.8,184.7
607,165.6,180.5,185.8,184.7,197.4
608,180.5,185.8,184.7,197.4,209.1
609,185.8,184.7,197.4,209.1,202.3
610,184.7,197.4,209.1,202.3,205.9
611,197.4,209.1,202.3,205.9,175.7
612,209.1,202.3,205.9,175.7,161.8
613,202.3,205.9,175.7,161.8,137.8
614,205.9,175.7,161.8,137.8,105.7
615,175.7,161.8,137.8,105.7,95.8
616,161.8,137.8,105.7,95.8,77.8
617,137.8,105.7,95.8,77.8,74.7
618,105.7,95.8,77.8,74.7,69.0
619,95.8,77.8,74.7,69.0,64.0
620,77.8,74.7,69.0,64.0,63.2
621,74.7,69.0,64.0,63.2,
622,69.0,64.0,63.2,,
623,64.0,63.2,,,47.5
624,63.2,,,47.5,45.1
625,,,47.5,45.1,47.5
626,,47.5,45.1,47.5,46.6
627,47.5,45.1,47.5,46.6,40.6
628,45.1,47.5,46.6,40.6,40.2
629,47.5,46.6,40.6,40.2,41.6
630,46.6,40.6,40.2,41.6,40.5
631,40.6,40.2,41.6,40.5,41.3
632,40.2,41.6,40.5,41.3,43.2
633,41.6,40.5,41.3,43.2,51.3
634,40.5,41.3,43.2,51.3,48.7
635,41.3,43.2,51.3,48.7,49.8
636,43.2,51.3,48.7,49.8,47.2
637,51.3,48.7,49.8,47.2,41.0
638,48.7,49.8,47.2,41.0,40.2
639,49.8,47.2,41.0,40.2,38.0
640,47.2,41.0,40.2,38.0,37.4
641,41.0,40.2,38.0,37.4,34.9
642,40.2,38.0,37.4,34.9,34.7
643,38.0,37.4,34.9,34.7,35.1
644,37.4,34.9,34.7,35.1,43.5
645,34.9,34.7,35.1,43.5,49.7
646,34.7,35.1,43.5,49.7,54.4
647,35.1,43.5,49.7,54.4,41.7
648,43.5,49.7,54.4,41.7,47.1
649,49.7,54.4,41.7,47.1,46.9
650,54.4,41.7,47.1,46.9,52.9
651,41.7,47.1,46.9,52.9,45.4
652,47.1,46.9,52.9,45.4,55.3
653,46.9,52.9,45.4,55.3,49.3
654,52.9,45.4,55.3,49.3,51.6
655,45.4,55.3,49.3,51.6,57.5
656,55.3,49.3,51.6,57.5,61.6
657,49.3,51.6,57.5,61.6,61.7
658,51.6,57.5,61.6,61.7,64.4
659,57.5,61.6,61.7,64.4,60.4
660,61.6,61.7,64.4,60.4,63.0
661,61.7,64.4,60.4,63.0,
662,64.4,60.4,63.0,,
663,60.4,63.0,,,
664,63.0,,,,63.2
665,,,,63.2,68.9
666,,,63.2,68.9,67.8
667,,63.2,68.9,67.8,62.7
668,63.2,68.9,67.8,62.7,55.9
669,68.9,67.8,62.7,55.9,
670,67.8,62.7,55.9,,
671,62.7,55.9,,,
672,55.9,,,,13.3
673,,,,13.3,42.7
674,,,13.3,42.7,76.6
675,,13.3,42.7,76.6,76.2
676,13.3,42.7,76.6,76.2,80.8
677,42.7,76.6,76.2,80.8,81.3
678,76.6,76.2,80.8,81.3,77.9
679,76.2,80.8,81.3,77.9,82.0
680,80.8,81.3,77.9,82.0,83.9
681,81.3,77.9,82.0,83.9,74.1
682,77.9,82.0,83.9,74.1,70.0
683,82.0,83.9,74.1,70.0,
684,83.9,74.1,70.0,,75.1
685,74.1,70.0,,75.1,73.4
686,70.0,,75.1,73.4,73.7
687,,75.1,73.4,73.7,73.0
688,75.1,73.4,73.7,73.0,
689,73.4,73.7,73.0,,71.6
690,73.7,73.0,,71.6,79.4
691,73.0,,71.6,79.4,87.0
692,,71.6,79.4,87.0,74.4
