,0,1,2,3,4
527,11.4,11.3,,11.3,12.4
528,11.3,,11.3,12.4,15.3
529,,11.3,12.4,15.3,16.6
530,11.3,12.4,15.3,16.6,16.4
531,12.4,15.3,16.6,16.4,15.7
532,15.3,16.6,16.4,15.7,15.2
533,16.6,16.4,15.7,15.2,15.6
534,16.4,15.7,15.2,15.6,16.3
535,15.7,15.2,15.6,16.3,16.7
536,15.2,15.6,16.3,16.7,17.1
537,15.6,16.3,16.7,17.1,16.9
538,16.3,16.7,17.1,16.9,17.3
539,16.7,17.1,16.9,17.3,17.6
540,17.1,16.9,17.3,17.6,18.2
541,16.9,17.3,17.6,18.2,17.3
542,17.3,17.6,18.2,17.3,16.7
543,17.6,18.2,17.3,16.7,17.0
544,18.2,17.3,16.7,17.0,18.9
545,17.3,16.7,17.0,18.9,19.6
546,16.7,17.0,18.9,19.6,20.2
547,17.0,18.9,19.6,20.2,20.7
548,18.9,19.6,20.2,20.7,20.8
549,19.6,20.2,20.7,20.8,20.1
550,20.2,20.7,20.8,20.1,19.1
551,20.7,20.8,20.1,19.1,18.4
552,20.8,20.1,19.1,18.4,17.2
553,20.1,19.1,18.4,17.2,16.6
554,19.1,18.4,17.2,16.6,16.0
555,18.4,17.2,16.6,16.0,15.3
556,17.2,16.6,16.0,15.3,14.9
557,16.6,16.0,15.3,14.9,15.8
558,16.0,15.3,14.9,15.8,15.2
559,15.3,14.9,15.8,15.2,15.4
560,14.9,15.8,15.2,15.4,16.2
561,15.8,15.2,15.4,16.2,17.1
562,15.2,15.4,16.2,17.1,17.2
563,15.4,16.2,17.1,17.2,18.2
564,16.2,17.1,17.2,18.2,19.1
565,17.1,17.2,18.2,19.1,
566,17.2,18.2,19.1,,
567,18.2,19.1,,,
568,19.1,,,,21.2
569,,,,21.2,
570,,,21.2,,
571,,21.2,,,
572,21.2,,,,26.8
573,,,,26.8,28.4
574,,,26.8,28.4,29.4
575,,26.8,28.4,29.4,28.7
576,26.8,28.4,29.4,28.7,
577,28.4,29.4,28.7,,
578,29.4,28.7,,,
579,28.7,,,,9.2
580,,,,9.2,16.5
581,,,9.2,16.5,18.2
582,,9.2,16.5,18.2,19.3
583,9.2,16.5,18.2,19.3,19.8
584,16.5,18.2,19.3,19.8,19.6
585,18.2,19.3,19.8,19.6,19.0
586,19.3,19.8,19.6,19.0,19.3
587,19.8,19.6,19.0,19.3,18.5
588,19.6,19.0,19.3,18.5,
589,19.0,19.3,18.5,,17.9
590,19.3,18.5,,17.9,17.5
591,18.5,,17.9,17.5,17.3
592,,17.9,17.5,17.3,17.3
593,17.9,17.5,17.3,17.3,17.3
594,17.5,17.3,17.3,17.3,17.0
595,17.3,17.3,17.3,17.0,17.2
596,17.3,17.3,17.0,17.2,17.1
597,17.3,17.0,17.2,17.1,19.8
598,17.0,17.2,17.1,19.8,
599,17.2,17.1,19.8,,22.1
600,17.1,19.8,,22.1,
601,19.8,,22.1,,27.3
602,,22.1,,27.3,24.1
603,22.1,,27.3,24.1,25.4
604,,27.3,24.1,25.4,34.6
605,27.3,24.1,25.4,34.6,35.5
606,24.1,25.4,34.6,35.5,31.9
607,25.4,34.6,35.5,31.9,63.5
608,34.6,35.5,31.9,63.5,90.0
609,35.5,31.9,63.5,90.0,59.4
610,31.9,63.5,90.0,59.4,46.6
611,63.5,90.0,59.4,46.6,40.1
612,90.0,59.4,46.6,40.1,20.5
613,59.4,46.6,40.1,20.5,14.8
614,46.6,40.1,20.5,14.8,10.7
615,40.1,20.5,14.8,10.7,8.6
616,20.5,14.8,10.7,8.6,7.1
617,14.8,10.7,8.6,7.1,5.4
618,10.7,8.6,7.1,5.4,5.3
619,8.6,7.1,5.4,5.3,4.7
620,7.1,5.4,5.3,4.7,3.4
621,5.4,5.3,4.7,3.4,
622,5.3,4.7,3.4,,
623,4.7,3.4,,,5.4
624,3.4,,,5.4,11.2
625,,,5.4,11.2,12.2
626,,5.4,11.2,12.2,12.7
627,5.4,11.2,12.2,12.7,12.9
628,11.2,12.2,12.7,12.9,12.9
629,12.2,12.7,12.9,12.9,12.8
630,12.7,12.9,12.9,12.8,12.6
631,12.9,12.9,12.8,12.6,12.8
632,12.9,12.8,12.6,12.8,12.4
633,12.8,12.6,12.8,12.4,11.9
634,12.6,12.8,12.4,11.9,11.9
635,12.8,12.4,11.9,11.9,11.9
636,12.4,11.9,11.9,11.9,11.6
637,11.9,11.9,11.9,11.6,11.2
638,11.9,11.9,11.6,11.2,10.5
639,11.9,11.6,11.2,10.5,10.7
640,11.6,11.2,10.5,10.7,11.0
641,11.2,10.5,10.7,11.0,11.3
642,10.5,10.7,11.0,11.3,11.4
643,10.7,11.0,11.3,11.4,12.0
644,11.0,11.3,11.4,12.0,12.2
645,11.3,11.4,12.0,12.2,11.6
646,11.4,12.0,12.2,11.6,11.0
647,12.0,12.2,11.6,11.0,11.4
648,12.2,11.6,11.0,11.4,11.4
649,11.6,11.0,11.4,11.4,11.7
650,11.0,11.4,11.4,11.7,12.0
651,11.4,11.4,11.7,12.0,12.1
652,11.4,11.7,12.0,12.1,12.1
653,11.7,12.0,12.1,12.1,12.5
654,12.0,12.1,12.1,12.5,12.3
655,12.1,12.1,12.5,12.3,12.5
656,12.1,12.5,12.3,12.5,13.0
657,12.5,12.3,12.5,13.0,12.9
658,12.3,12.5,13.0,12.9,12.9
659,12.5,13.0,12.9,12.9,12.9
660,13.0,12.9,12.9,12.9,12.9
661,12.9,12.9,12.9,12.9,
662,12.9,12.9,12.9,,
663,12.9,12.9,,,
664,12.9,,,,13.9
665,,,,13.9,
666,,,13.9,,
667,,13.9,,,
668,13.9,,,,14.4
669,,,,14.4,14.2
670,,,14.4,14.2,13.9
671,,14.4,14.2,13.9,
672,14.4,14.2,13.9,,
673,14.2,13.9,,,
674,13.9,,,,49.6
675,,,,49.6,16.7
676,,,49.6,16.7,15.6
677,,49.6,16.7,15.6,15.7
678,49.6,16.7,15.6,15.7,15.4
679,16.7,15.6,15.7,15.4,16.0
680,15.6,15.7,15.4,16.0,15.6
681,15.7,15.4,16.0,15.6,16.3
682,15.4,16.0,15.6,16.3,15.5
683,16.0,15.6,16.3,15.5,
684,15.6,16.3,15.5,,15.3
685,16.3,15.5,,15.3,15.6
686,15.5,,15.3,15.6,15.1
687,,15.3,15.6,15.1,15.2
688,15.3,15.6,15.1,15.2,
689,15.6,15.1,15.2,,15.8
690,15.1,15.2,,15.8,15.4
691,15.2,,15.8,15.4,15.1
692,,15.8,15.4,15.1,15.1
693,15.8,15.4,15.1,15.1,15.2
694,15.4,15.1,15.1,15.2,14.9
695,15.1,15.1,15.2,14.9,15.7
696,15.1,15.2,14.9,15.7,15.6
697,15.2,14.9,15.7,15.6,15.4
698,14.9,15.7,15.6,15.4,14.8
699,15.7,15.6,15.4,14.8,15.4
700,15.6,15.4,14.8,15.4,16.2
701,15.4,14.8,15.4,16.2,16.4
702,14.8,15.4,16.2,16.4,15.6
